day,subject,trial,s2,c1,c2,r,stim1_l,stim1_r,stim2_l,stim2_r,stake
1,mj1berj703,90.0,2,2,1,0.0,2,1,2,1,5
1,mj1berj703,91.0,2,2,2,0.0,2,1,2,1,5
1,mj1berj703,91.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,92.0,2,2,1,0.0,2,1,1,2,5
1,mj1berj703,92.0,2,2,1,0.0,2,1,1,2,1
1,mj1berj703,93.0,2,2,1,5.0,1,2,2,1,5
1,mj1berj703,93.0,1,2,2,0.0,2,1,1,2,1
1,mj1berj703,94.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,94.0,1,2,1,5.0,1,2,2,1,5
1,mj1berj703,95.0,2,2,1,5.0,1,2,2,1,5
1,mj1berj703,95.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,96.0,2,2,1,0.0,2,1,2,1,1
1,mj1berj703,96.0,2,1,2,5.0,1,2,2,1,5
1,mj1berj703,97.0,2,2,1,5.0,2,1,2,1,5
1,mj1berj703,97.0,2,2,2,0.0,1,2,2,1,1
1,mj1berj703,98.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,98.0,1,2,1,0.0,1,2,1,2,5
1,mj1berj703,99.0,2,2,1,1.0,1,2,1,2,5
1,mj1berj703,99.0,2,2,1,1.0,1,2,1,2,1
1,mj1berj703,100.0,1,1,1,0.0,1,2,1,2,5
1,mj1berj703,100.0,1,2,2,0.0,2,1,2,1,1
1,w7dlo8n103,1.0,1,2,1,5.0,1,2,2,1,5
1,w7dlo8n103,1.0,1,1,1,5.0,1,2,2,1,1
1,w7dlo8n103,2.0,1,1,2,0.0,2,1,2,1,5
1,w7dlo8n103,2.0,1,1,1,5.0,1,2,2,1,1
1,w7dlo8n103,3.0,1,1,1,0.0,1,2,1,2,1
1,w7dlo8n103,3.0,2,1,1,0.0,1,2,2,1,5
1,w7dlo8n103,4.0,2,2,1,0.0,2,1,2,1,1
1,w7dlo8n103,4.0,2,2,2,0.0,2,1,2,1,5
1,w7dlo8n103,5.0,2,1,1,0.0,2,1,1,2,1
1,w7dlo8n103,5.0,2,2,2,0.0,1,2,2,1,5
1,w7dlo8n103,6.0,2,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,6.0,1,1,1,0.0,2,1,1,2,5
1,w7dlo8n103,7.0,2,1,1,5.0,2,1,2,1,1
1,w7dlo8n103,7.0,2,2,1,0.0,1,2,1,2,5
1,w7dlo8n103,8.0,1,1,1,5.0,2,1,2,1,1
1,w7dlo8n103,8.0,1,2,1,0.0,2,1,1,2,5
1,w7dlo8n103,9.0,1,1,2,0.0,2,1,2,1,1
1,w7dlo8n103,9.0,1,1,1,5.0,2,1,2,1,5
1,w7dlo8n103,10.0,2,1,2,1.0,2,1,1,2,5
1,w7dlo8n103,10.0,1,1,1,0.0,1,2,1,2,1
1,w7dlo8n103,11.0,1,2,2,0.0,1,2,1,2,1
1,w7dlo8n103,11.0,2,2,1,0.0,2,1,1,2,5
1,w7dlo8n103,12.0,2,2,1,5.0,1,2,2,1,5
1,w7dlo8n103,12.0,1,1,2,0.0,1,2,2,1,1
1,w7dlo8n103,13.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,13.0,2,2,1,5.0,1,2,2,1,1
1,w7dlo8n103,14.0,2,2,2,1.0,1,2,1,2,1
1,w7dlo8n103,14.0,2,1,1,5.0,2,1,2,1,5
1,w7dlo8n103,15.0,1,1,1,5.0,2,1,2,1,1
1,w7dlo8n103,15.0,1,1,1,5.0,2,1,2,1,5
1,w7dlo8n103,16.0,2,1,1,0.0,2,1,2,1,5
1,w7dlo8n103,16.0,1,2,2,0.0,2,1,2,1,1
1,w7dlo8n103,17.0,1,2,2,0.0,2,1,2,1,5
1,w7dlo8n103,17.0,1,1,2,0.0,2,1,1,2,1
1,w7dlo8n103,18.0,2,2,2,0.0,1,2,1,2,1
1,w7dlo8n103,18.0,1,2,1,1.0,2,1,1,2,5
1,w7dlo8n103,19.0,1,1,1,5.0,2,1,2,1,1
1,w7dlo8n103,19.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,20.0,1,1,2,0.0,2,1,2,1,5
1,w7dlo8n103,20.0,1,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,21.0,1,1,1,5.0,2,1,2,1,5
1,w7dlo8n103,21.0,1,1,2,5.0,1,2,2,1,1
1,w7dlo8n103,22.0,2,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,22.0,1,1,1,0.0,1,2,1,2,5
1,w7dlo8n103,23.0,1,2,2,0.0,1,2,1,2,1
1,w7dlo8n103,23.0,1,1,2,0.0,2,1,1,2,5
1,w7dlo8n103,24.0,1,1,2,5.0,1,2,2,1,1
1,w7dlo8n103,24.0,1,1,1,0.0,1,2,1,2,5
1,w7dlo8n103,25.0,1,1,1,0.0,2,1,2,1,1
1,w7dlo8n103,25.0,1,1,2,0.0,1,2,1,2,5
1,w7dlo8n103,26.0,1,1,2,0.0,2,1,1,2,1
1,w7dlo8n103,26.0,2,2,2,5.0,2,1,2,1,5
1,w7dlo8n103,27.0,1,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,27.0,1,1,1,0.0,1,2,1,2,5
1,w7dlo8n103,28.0,1,2,2,1.0,1,2,1,2,1
1,w7dlo8n103,28.0,1,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,29.0,1,1,1,1.0,1,2,1,2,5
1,w7dlo8n103,29.0,1,2,1,5.0,1,2,2,1,1
1,w7dlo8n103,30.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,30.0,1,1,2,0.0,2,1,1,2,1
1,w7dlo8n103,31.0,1,2,1,0.0,2,1,1,2,1
1,w7dlo8n103,31.0,2,1,1,5.0,2,1,2,1,5
1,w7dlo8n103,32.0,1,1,2,1.0,2,1,1,2,5
1,w7dlo8n103,32.0,2,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,33.0,2,1,2,0.0,2,1,2,1,1
1,w7dlo8n103,33.0,2,2,2,1.0,1,2,1,2,5
1,w7dlo8n103,34.0,1,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,34.0,1,1,2,1.0,2,1,1,2,5
1,w7dlo8n103,35.0,2,2,1,1.0,1,2,1,2,5
1,w7dlo8n103,35.0,1,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,36.0,2,2,1,0.0,1,2,1,2,1
1,w7dlo8n103,36.0,2,2,2,0.0,1,2,1,2,5
1,w7dlo8n103,37.0,1,2,2,0.0,1,2,1,2,1
1,w7dlo8n103,37.0,2,2,1,0.0,2,1,1,2,5
1,w7dlo8n103,38.0,2,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,38.0,2,2,1,0.0,1,2,2,1,5
1,w7dlo8n103,39.0,2,2,1,5.0,1,2,2,1,1
1,w7dlo8n103,39.0,2,2,1,5.0,1,2,2,1,5
1,w7dlo8n103,40.0,1,1,2,1.0,2,1,1,2,5
1,w7dlo8n103,40.0,1,2,1,0.0,1,2,2,1,1
1,w7dlo8n103,41.0,2,2,1,5.0,1,2,2,1,5
1,w7dlo8n103,41.0,1,1,1,5.0,2,1,2,1,1
1,w7dlo8n103,42.0,1,2,2,0.0,1,2,1,2,5
1,w7dlo8n103,42.0,2,1,2,1.0,2,1,1,2,1
1,w7dlo8n103,43.0,1,1,2,0.0,2,1,1,2,5
1,w7dlo8n103,43.0,2,2,1,5.0,1,2,2,1,1
1,w7dlo8n103,44.0,2,2,2,0.0,1,2,1,2,5
1,w7dlo8n103,44.0,2,2,1,5.0,2,1,2,1,1
