day,subject,trial,s1,s2,c,r,stim_l,stim_r,stake,s1L
1,21v1or0p00,79.0,2,2.0,4,21.0,4,3,1,0
1,21v1or0p00,80.0,4,3.0,3,5.4,3,4,5,1
1,21v1or0p00,80.0,2,1.0,3,12.0,3,4,1,1
1,21v1or0p00,81.0,3,3.0,1,5.4,1,2,5,1
1,21v1or0p00,81.0,2,1.0,3,9.0,3,4,1,1
1,21v1or0p00,82.0,4,3.0,3,5.4,3,4,5,1
1,21v1or0p00,82.0,2,1.0,3,6.0,3,4,1,1
1,21v1or0p00,83.0,4,3.0,3,3.0,3,4,5,1
1,21v1or0p00,83.0,1,2.0,2,24.0,2,1,1,0
1,21v1or0p00,84.0,1,2.0,2,27.0,2,1,1,0
1,21v1or0p00,84.0,4,3.0,3,2.4,3,4,5,1
1,21v1or0p00,85.0,4,4.0,4,0.0,4,3,5,0
1,21v1or0p00,85.0,1,1.0,1,24.0,1,2,1,1
1,21v1or0p00,86.0,4,4.0,4,0.0,4,3,5,0
1,21v1or0p00,86.0,1,2.0,2,21.0,2,1,1,0
1,21v1or0p00,87.0,2,2.0,4,27.0,4,3,1,0
1,21v1or0p00,87.0,4,3.0,3,0.0,3,4,5,1
1,21v1or0p00,88.0,1,1.0,1,9.0,1,2,1,1
1,21v1or0p00,88.0,4,4.0,4,0.0,4,3,5,0
1,21v1or0p00,89.0,2,1.0,3,15.0,3,4,1,1
1,21v1or0p00,89.0,4,4.0,4,0.6,4,3,5,0
1,21v1or0p00,90.0,4,3.0,3,3.6,3,4,5,1
1,21v1or0p00,90.0,2,1.0,3,18.0,3,4,1,1
1,21v1or0p00,91.0,2,1.0,3,21.0,3,4,1,1
1,21v1or0p00,91.0,3,4.0,2,2.4,2,1,5,0
1,21v1or0p00,92.0,2,2.0,4,18.0,4,3,1,0
1,21v1or0p00,92.0,4,3.0,3,1.8,3,4,5,1
1,21v1or0p00,93.0,3,4.0,2,3.0,2,1,5,0
1,21v1or0p00,93.0,2,1.0,3,18.0,3,4,1,1
1,21v1or0p00,94.0,2,2.0,4,6.0,4,3,1,0
1,21v1or0p00,94.0,3,3.0,1,2.4,1,2,5,1
1,21v1or0p00,95.0,4,3.0,3,3.0,3,4,5,1
1,21v1or0p00,95.0,2,1.0,3,15.0,3,4,1,1
1,21v1or0p00,96.0,1,1.0,1,18.0,1,2,1,1
1,21v1or0p00,96.0,3,4.0,2,3.0,2,1,5,0
1,21v1or0p00,97.0,4,4.0,4,3.6,4,3,5,0
1,21v1or0p00,97.0,1,2.0,2,15.0,2,1,1,0
1,21v1or0p00,98.0,1,2.0,2,27.0,2,1,1,0
1,21v1or0p00,98.0,4,4.0,4,4.2,4,3,5,0
1,21v1or0p00,99.0,3,4.0,2,4.2,2,1,5,0
1,21v1or0p00,99.0,2,2.0,4,27.0,4,3,1,0
1,21v1or0p00,100.0,4,4.0,4,3.0,4,3,5,0
1,21v1or0p00,100.0,1,1.0,1,27.0,1,2,1,1
1,0hc5jby300,1.0,2,2.0,4,3.0,4,3,1,0
1,0hc5jby300,1.0,3,,,-1.0,2,1,5,0
1,0hc5jby300,2.0,1,1.0,1,0.0,2,1,1,0
1,0hc5jby300,2.0,3,3.0,1,4.8,2,1,5,0
1,0hc5jby300,3.0,3,3.0,1,5.4,2,1,5,0
1,0hc5jby300,3.0,2,2.0,4,0.0,4,3,1,0
1,0hc5jby300,4.0,1,1.0,1,0.0,2,1,1,0
1,0hc5jby300,4.0,3,3.0,1,5.4,2,1,5,0
1,0hc5jby300,5.0,4,3.0,3,5.4,4,3,5,0
1,0hc5jby300,5.0,1,2.0,2,0.0,1,2,1,1
1,0hc5jby300,6.0,1,2.0,2,0.0,1,2,1,1
1,0hc5jby300,6.0,3,3.0,1,5.4,2,1,5,0
1,0hc5jby300,7.0,1,2.0,2,0.0,1,2,1,1
1,0hc5jby300,7.0,4,3.0,3,5.4,3,4,5,1
1,0hc5jby300,8.0,3,4.0,2,0.0,1,2,5,1
1,0hc5jby300,8.0,1,2.0,2,6.0,1,2,1,1
1,0hc5jby300,9.0,2,2.0,4,9.0,3,4,1,1
1,0hc5jby300,9.0,3,4.0,2,0.0,1,2,5,1
1,0hc5jby300,10.0,3,4.0,2,0.6,1,2,5,1
1,0hc5jby300,10.0,1,1.0,1,15.0,1,2,1,1
1,0hc5jby300,11.0,3,4.0,2,1.2,1,2,5,1
1,0hc5jby300,11.0,1,1.0,1,15.0,2,1,1,0
1,0hc5jby300,12.0,2,2.0,4,18.0,3,4,1,1
1,0hc5jby300,12.0,3,4.0,2,1.8,1,2,5,1
1,0hc5jby300,13.0,4,4.0,4,3.0,3,4,5,1
1,0hc5jby300,13.0,1,1.0,1,27.0,2,1,1,0
1,0hc5jby300,14.0,4,3.0,3,5.4,4,3,5,0
1,0hc5jby300,14.0,1,2.0,2,9.0,1,2,1,1
1,0hc5jby300,15.0,3,4.0,2,3.6,2,1,5,0
1,0hc5jby300,15.0,2,2.0,4,0.0,3,4,1,1
1,0hc5jby300,16.0,2,1.0,3,24.0,3,4,1,1
1,0hc5jby300,16.0,3,4.0,2,4.2,1,2,5,1
1,0hc5jby300,17.0,3,3.0,1,3.0,2,1,5,0
1,0hc5jby300,17.0,1,1.0,1,27.0,1,2,1,1
1,0hc5jby300,18.0,1,2.0,2,9.0,1,2,1,1
1,0hc5jby300,18.0,4,3.0,3,3.0,4,3,5,0
1,0hc5jby300,19.0,2,2.0,4,9.0,3,4,1,1
1,0hc5jby300,19.0,3,3.0,1,3.6,2,1,5,0
1,0hc5jby300,20.0,3,4.0,2,3.6,1,2,5,1
1,0hc5jby300,20.0,1,1.0,1,27.0,2,1,1,0
1,0hc5jby300,21.0,4,3.0,3,0.0,4,3,5,0
1,0hc5jby300,21.0,2,1.0,3,24.0,4,3,1,0
