day,subject,trial,s1,s2,c,r,stim_l,stim_m,stim_r,stake
2,e4khl3b302,33.0,4,5.0,6,5.0,6,4,5,5
2,e4khl3b302,34.0,3,3.0,1,5.0,3,1,2,5
2,e4khl3b302,34.0,1,1.0,1,5.0,1,,2,1
2,e4khl3b302,35.0,2,1.0,3,1.0,3,,4,1
2,e4khl3b302,35.0,4,3.0,4,0.0,5,6,4,5
2,e4khl3b302,36.0,1,1.0,1,4.0,1,,2,1
2,e4khl3b302,36.0,3,3.0,1,0.0,2,1,3,5
2,e4khl3b302,37.0,3,5.0,3,3.0,3,2,1,5
2,e4khl3b302,37.0,1,2.0,2,3.0,1,,2,1
2,e4khl3b302,38.0,1,1.0,1,5.0,1,,2,1
2,e4khl3b302,38.0,4,5.0,6,1.0,6,4,5,5
2,e4khl3b302,39.0,4,4.0,5,1.0,5,4,6,5
2,e4khl3b302,39.0,1,1.0,1,4.0,1,,2,1
2,e4khl3b302,40.0,3,5.0,3,1.0,3,2,1,5
2,e4khl3b302,40.0,1,1.0,1,5.0,1,,2,1
2,e4khl3b302,41.0,1,1.0,1,0.0,1,,2,1
2,e4khl3b302,41.0,3,3.0,1,4.0,2,1,3,5
2,e4khl3b302,42.0,1,2.0,2,9.0,2,,1,1
2,e4khl3b302,42.0,3,3.0,1,2.0,2,1,3,5
2,e4khl3b302,43.0,3,5.0,3,8.0,3,2,1,5
2,e4khl3b302,43.0,1,2.0,2,9.0,2,,1,1
2,e4khl3b302,44.0,1,1.0,1,0.0,2,,1,1
2,e4khl3b302,44.0,4,4.0,5,2.0,6,5,4,5
2,e4khl3b302,45.0,4,5.0,6,7.0,6,4,5,5
2,e4khl3b302,45.0,2,2.0,4,8.0,4,,3,1
2,e4khl3b302,46.0,2,2.0,4,9.0,4,,3,1
2,e4khl3b302,46.0,3,3.0,1,2.0,2,1,3,5
2,e4khl3b302,47.0,4,3.0,4,5.0,6,5,4,5
2,e4khl3b302,47.0,1,1.0,1,2.0,1,,2,1
2,e4khl3b302,48.0,3,5.0,3,8.0,2,3,1,5
2,e4khl3b302,48.0,2,2.0,4,6.0,4,,3,1
2,e4khl3b302,49.0,2,2.0,4,7.0,3,,4,1
2,e4khl3b302,49.0,3,5.0,3,9.0,1,3,2,5
2,e4khl3b302,50.0,2,2.0,4,5.0,4,,3,1
2,e4khl3b302,50.0,4,3.0,4,0.0,6,4,5,5
2,e4khl3b302,51.0,3,4.0,2,0.0,1,3,2,5
2,e4khl3b302,51.0,2,2.0,4,6.0,4,,3,1
2,e4khl3b302,52.0,4,5.0,6,9.0,6,4,5,5
2,e4khl3b302,52.0,1,2.0,2,5.0,2,,1,1
2,e4khl3b302,53.0,3,4.0,2,1.0,2,3,1,5
2,e4khl3b302,53.0,1,2.0,2,6.0,1,,2,1
2,e4khl3b302,54.0,3,3.0,1,4.0,2,1,3,5
2,e4khl3b302,54.0,1,2.0,2,6.0,2,,1,1
2,e4khl3b302,55.0,4,4.0,5,2.0,5,4,6,5
2,e4khl3b302,55.0,2,2.0,4,7.0,3,,4,1
2,e4khl3b302,56.0,3,3.0,1,5.0,3,2,1,5
2,e4khl3b302,56.0,2,1.0,3,9.0,3,,4,1
2,e4khl3b302,57.0,1,2.0,2,7.0,2,,1,1
2,e4khl3b302,57.0,4,3.0,4,5.0,4,5,6,5
2,e4khl3b302,58.0,3,4.0,2,6.0,3,2,1,5
2,e4khl3b302,58.0,2,2.0,4,8.0,4,,3,1
2,e4khl3b302,59.0,3,3.0,1,7.0,1,3,2,5
2,e4khl3b302,59.0,1,2.0,2,8.0,1,,2,1
2,e4khl3b302,60.0,4,3.0,4,7.0,4,6,5,5
2,e4khl3b302,60.0,2,1.0,3,3.0,4,,3,1
2,e4khl3b302,61.0,2,2.0,4,5.0,4,,3,1
2,e4khl3b302,61.0,4,4.0,5,9.0,4,6,5,5
2,e4khl3b302,62.0,2,1.0,3,7.0,3,,4,1
2,e4khl3b302,62.0,3,5.0,3,2.0,2,3,1,5
2,e4khl3b302,63.0,3,5.0,3,5.0,3,1,2,5
2,e4khl3b302,63.0,1,1.0,1,6.0,2,,1,1
2,e4khl3b302,64.0,2,1.0,3,6.0,4,,3,1
2,e4khl3b302,64.0,3,5.0,3,7.0,3,2,1,5
2,e4khl3b302,65.0,2,1.0,3,3.0,3,,4,1
2,e4khl3b302,65.0,3,5.0,3,5.0,2,1,3,5
2,e4khl3b302,66.0,4,5.0,6,5.0,4,6,5,5
2,e4khl3b302,66.0,1,2.0,2,6.0,1,,2,1
2,e4khl3b302,67.0,4,4.0,5,7.0,5,6,4,5
2,e4khl3b302,67.0,2,2.0,4,6.0,3,,4,1
2,e4khl3b302,68.0,2,1.0,3,1.0,3,,4,1
2,e4khl3b302,68.0,3,3.0,1,3.0,2,1,3,5
2,e4khl3b302,69.0,3,4.0,2,1.0,3,2,1,5
2,e4khl3b302,69.0,2,1.0,3,2.0,4,,3,1
2,e4khl3b302,70.0,3,4.0,2,0.0,1,2,3,5
2,e4khl3b302,70.0,1,2.0,2,3.0,2,,1,1
2,e4khl3b302,71.0,4,4.0,5,1.0,4,6,5,5
2,e4khl3b302,71.0,2,2.0,4,3.0,4,,3,1
2,e4khl3b302,72.0,4,3.0,4,1.0,6,4,5,5
2,e4khl3b302,72.0,1,1.0,1,3.0,1,,2,1
2,e4khl3b302,73.0,4,5.0,6,1.0,5,4,6,5
2,e4khl3b302,73.0,1,1.0,1,1.0,1,,2,1
2,e4khl3b302,74.0,1,2.0,2,7.0,1,,2,1
2,e4khl3b302,74.0,3,4.0,2,2.0,2,3,1,5
2,e4khl3b302,75.0,3,4.0,2,4.0,3,1,2,5
2,e4khl3b302,75.0,2,2.0,4,6.0,3,,4,1
2,e4khl3b302,76.0,2,2.0,4,8.0,3,,4,1
2,e4khl3b302,76.0,4,3.0,4,1.0,5,4,6,5
2,e4khl3b302,77.0,2,1.0,3,2.0,4,,3,1
2,e4khl3b302,77.0,4,3.0,4,4.0,4,6,5,5
2,e4khl3b302,78.0,1,2.0,2,6.0,1,,2,1
2,e4khl3b302,78.0,4,3.0,4,6.0,6,4,5,5
2,e4khl3b302,79.0,2,2.0,4,8.0,3,,4,1
2,e4khl3b302,79.0,3,3.0,1,8.0,2,3,1,5
